username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Willian,Ecuador,Double or Twin Room,1 night,Group,05-20-2024 00:00:00,Exceptional,10.0,es,La instalaciones muy bonitas un lugar bastante acogedor y te atienden muy bien te dan sugerencias de los lugares a los cuales visitar.,Que si vas a pie el lugar esta ubicado en una cuesta bastante empinada eso dificulta la llegada un poco,title: Exceptional. liked: La instalaciones muy bonitas un lugar bastante acogedor y te atienden muy bien te dan sugerencias de los lugares a los cuales visitar. disliked: Que si vas a pie el lugar esta ubicado en una cuesta bastante empinada eso dificulta la llegada un poco.,,0,0,
Wiktoria,Poland,Single Room,2 nights,Group,05-09-2024 00:00:00,Recomendable!,8.0,es,Los cuartos comodos y el personal amble. Nos decidimos a pasar más tiempo allá.,"Algunas instalaciones no funcionaban bien, pero la verdad que no nos impactó mucho","title: Recomendable! liked: Los cuartos comodos y el personal amble. Nos decidimos a pasar más tiempo allá. disliked: Algunas instalaciones no funcionaban bien, pero la verdad que no nos impactó mucho.",,0,0,
Francisco,Mexico,Double or Twin Room,3 nights,Couple,05-06-2024 00:00:00,Superb,9.0,es,Buena ubicacion con magnificas vistas.,,title: Superb. liked: Buena ubicacion con magnificas vistas.,,0,0,
Adrian,Ecuador,Triple Room with Private Bathroom,1 night,Couple,05-06-2024 00:00:00,Very good,8.0,es,La limpieza y habitación,La ubicación no era la ideal,title: Very good. liked: La limpieza y habitación. disliked: La ubicación no era la ideal.,,0,0,
Alvarez,Ecuador,Triple Room with Private Bathroom,2 nights,Group,04-29-2024 00:00:00,Exceptional,10.0,es,"Comodidad 100 % recomendado para relax, con acceso a todas las actividades turísticas de Baños.",,"title: Exceptional. liked: Comodidad 100 % recomendado para relax, con acceso a todas las actividades turísticas de Baños.",,0,0,
Carolina,Ecuador,Single Room,2 nights,Solo traveller,04-22-2024 00:00:00,Super recomendado,10.0,es,"Excelente lugar para descansar, cuenta con parqueadero, el desayuno excelente y el personal muy amable. Definitivamente regresaré",,"title: Super recomendado. liked: Excelente lugar para descansar, cuenta con parqueadero, el desayuno excelente y el personal muy amable. Definitivamente regresaré.",,1,0,
Diego,Colombia,Single Room,1 night,Solo traveller,04-21-2024 00:00:00,Exceptional,10.0,es,La ubicación lejos del ruido del centro,,title: Exceptional. liked: La ubicación lejos del ruido del centro.,,0,0,
Diego,Ecuador,Double or Twin Room,1 night,Solo traveller,04-19-2024 00:00:00,Volvería sin dudar,9.0,es,La atención ex celente,Falto implementos en el baño (shampoo),title: Volvería sin dudar. liked: La atención ex celente. disliked: Falto implementos en el baño (shampoo),,0,0,
Francisco,Spain,Double or Twin Room,2 nights,Couple,04-16-2024 00:00:00,Superb,9.0,es,"Vistas, limpieza amabilidad",La subida para llegar,"title: Superb. liked: Vistas, limpieza amabilidad. disliked: La subida para llegar.",,0,0,
Francisco,Spain,Double or Twin Room,1 night,Couple,04-13-2024 00:00:00,HOSTERÍA ESPECIAL,9.0,es,"La ubicación aún estando en una cuesta era espectacular, la habitación amplia como para moverte, el servicio, atención tanto de día como de noche fue muy buena. Exteriores preciosos y encantador. En general recomendable y lo volveremos a reservar en caso de volver. Gracias.",La cuesta para acceder,"title: HOSTERÍA ESPECIAL. liked: La ubicación aún estando en una cuesta era espectacular, la habitación amplia como para moverte, el servicio, atención tanto de día como de noche fue muy buena. Exteriores preciosos y encantador. En general recomendable y lo volveremos a reservar en caso de volver. Gracias. disliked: La cuesta para acceder.",,0,0,
